description,category
electronics purchase transaction,Shopping
game purchase transaction,Entertainment
auto rickshaw payment,Transport
medical bill expense,Health
freelance payment payment,Income
netflix subscription expense,Entertainment
street food expense,Food
hospital visit expense,Health
shopping payment,Shopping
bus ticket 1793,Transport
cashback received,Income
swiggy order expense,Food
zomato order 2892,Food
amazon order,Shopping
cinema expense,Entertainment
ration store expense,Groceries
salary credited expense,Income
interest income payment,Income
supermarket expense,Groceries
bus ticket,Transport
vacation travel expense,Travel
resort stay 1135,Travel
tour booking,Travel
vegetable market transaction,Groceries
diesel,Transport
vacation travel,Travel
cinema transaction,Entertainment
petrol expense,Transport
burger 3445,Food
online shopping expense,Shopping
ola cab expense,Transport
petrol,Transport
flight ticket,Travel
hospital visit expense,Health
freelance payment payment,Income
tea expense,Food
hotel booking payment,Travel
interest income,Income
tour booking expense,Travel
street food,Food
new shoes,Shopping
freelance payment,Income
petrol transaction,Transport
electricity bill,Utilities
train ticket 1741,Transport
snacks transaction,Food
pharmacy 792,Health
cinema transaction,Entertainment
internet bill transaction,Utilities
health checkup expense,Health
cinema payment,Entertainment
vacation travel payment,Travel
mall shopping,Shopping
flipkart order,Shopping
netflix subscription 781,Entertainment
gas bill payment,Utilities
burger transaction,Food
clothes purchase expense,Shopping
online shopping,Shopping
electricity bill,Utilities
medicine purchase expense,Health
supermarket expense,Groceries
pizza,Food
electricity bill 2401,Utilities
grocery shopping transaction,Groceries
interest income expense,Income
clothes purchase transaction,Shopping
freelance payment 245,Income
shopping 3561,Shopping
trip expense,Travel
electricity bill 1831,Utilities
fuel refill,Transport
netflix subscription 1553,Entertainment
clothes purchase expense,Shopping
pharmacy expense,Health
gas station transaction,Transport
hospital visit expense,Health
taxi fare,Transport
medicine purchase payment,Health
mobile recharge,Utilities
salary credited 4257,Income
hospital visit,Health
pharmacy,Health
medicine purchase expense,Health
spotify premium,Entertainment
mall shopping transaction,Shopping
ration store transaction,Groceries
medicine purchase 599,Health
bonus received,Income
ola cab,Transport
uber ride,Transport
daily groceries,Groceries
daily groceries,Groceries
vacation travel,Travel
interest income,Income
shopping expense,Shopping
tour booking,Travel
refund received,Income
concert ticket,Entertainment
interest income transaction,Income
cinema expense,Entertainment
online shopping transaction,Shopping
refund received,Income
medicine purchase,Health
milk purchase 4685,Groceries
cinema expense,Entertainment
supermarket transaction,Groceries
tea transaction,Food
health checkup transaction,Health
milk purchase 179,Groceries
spotify premium transaction,Entertainment
ration store,Groceries
restaurant meal transaction,Food
pharmacy payment,Health
internet bill payment,Utilities
burger payment,Food
new shoes 1065,Shopping
amazon order,Shopping
mobile recharge 2573,Utilities
flipkart order payment,Shopping
concert ticket payment,Entertainment
flipkart order 2960,Shopping
online shopping payment,Shopping
medical bill,Health
taxi fare payment,Transport
hotel booking,Travel
hotel booking,Travel
movie ticket 128,Entertainment
daily groceries 2200,Groceries
cinema 2283,Entertainment
water bill expense,Utilities
swiggy order 3785,Food
supermarket,Groceries
game purchase payment,Entertainment
spotify premium transaction,Entertainment
electricity bill transaction,Utilities
hotel booking payment,Travel
electricity bill,Utilities
clothes purchase expense,Shopping
daily groceries payment,Groceries
flipkart order payment,Shopping
interest income payment,Income
daily groceries expense,Groceries
electronics purchase expense,Shopping
shopping transaction,Shopping
medicine purchase 2299,Health
vegetable market payment,Groceries
medical bill payment,Health
bonus received,Income
medical bill,Health
electricity bill transaction,Utilities
vacation travel transaction,Travel
internet bill expense,Utilities
coffee,Food
bonus received expense,Income
movie ticket,Entertainment
burger,Food
gas station,Transport
trip expense 2844,Travel
vegetable market payment,Groceries
fuel refill,Transport
refund received,Income
supermarket expense,Groceries
metro ticket payment,Transport
electronics purchase,Shopping
bonus received,Income
hospital visit 4081,Health
supermarket,Groceries
cinema 932,Entertainment
hotel booking,Travel
pizza expense,Food
pharmacy,Health
burger transaction,Food
pharmacy,Health
auto rickshaw transaction,Transport
milk purchase transaction,Groceries
amazon order,Shopping
lunch,Food
taxi fare,Transport
internet bill expense,Utilities
metro ticket expense,Transport
salary credited payment,Income
amazon order 1935,Shopping
netflix subscription 3570,Entertainment
breakfast 881,Food
interest income expense,Income
medicine purchase,Health
flipkart order expense,Shopping
gas bill 4677,Utilities
fuel refill expense,Transport
bus ticket payment,Transport
shopping transaction,Shopping
refund received,Income
vegetable market,Groceries
vacation travel payment,Travel
freelance payment,Income
water bill,Utilities
cinema 3005,Entertainment
ration store 1491,Groceries
uber ride expense,Transport
resort stay transaction,Travel
concert ticket payment,Entertainment
refund received,Income
mall shopping expense,Shopping
cinema payment,Entertainment
hospital visit expense,Health
auto rickshaw expense,Transport
movie ticket,Entertainment
vegetable market 3094,Groceries
burger payment,Food
tour booking expense,Travel
train ticket payment,Transport
fuel refill payment,Transport
mobile recharge payment,Utilities
pizza 464,Food
cinema payment,Entertainment
interest income payment,Income
mall shopping expense,Shopping
milk purchase expense,Groceries
daily groceries,Groceries
uber ride payment,Transport
ration store expense,Groceries
electricity bill payment,Utilities
flipkart order transaction,Shopping
diesel,Transport
flipkart order,Shopping
vegetable market,Groceries
restaurant meal payment,Food
milk purchase 4785,Groceries
daily groceries 558,Groceries
uber ride transaction,Transport
interest income expense,Income
supermarket payment,Groceries
freelance payment,Income
supermarket,Groceries
medicine purchase transaction,Health
electronics purchase transaction,Shopping
zomato order payment,Food
train ticket expense,Transport
tour booking,Travel
street food,Food
swiggy order transaction,Food
spotify premium,Entertainment
electricity bill 2646,Utilities
uber ride,Transport
metro ticket transaction,Transport
ration store transaction,Groceries
health checkup payment,Health
flipkart order payment,Shopping
pharmacy expense,Health
game purchase transaction,Entertainment
food delivery transaction,Food
taxi fare,Transport
vegetable market,Groceries
ola cab,Transport
refund received,Income
trip expense 4590,Travel
amazon order transaction,Shopping
game purchase,Entertainment
flipkart order payment,Shopping
freelance payment 382,Income
flight ticket payment,Travel
salary credited transaction,Income
uber ride,Transport
cinema,Entertainment
internet bill expense,Utilities
concert ticket,Entertainment
vacation travel payment,Travel
dinner transaction,Food
zomato order expense,Food
flight ticket,Travel
gas station,Transport
new shoes transaction,Shopping
mobile recharge,Utilities
electronics purchase expense,Shopping
new shoes expense,Shopping
bonus received payment,Income
auto rickshaw expense,Transport
concert ticket,Entertainment
bonus received expense,Income
internet bill payment,Utilities
zomato order expense,Food
flipkart order transaction,Shopping
mall shopping expense,Shopping
cinema,Entertainment
salary credited expense,Income
hospital visit,Health
doctor consultation payment,Health
hotel booking,Travel
medical bill expense,Health
medical bill,Health
freelance payment,Income
trip expense transaction,Travel
electronics purchase,Shopping
dinner 764,Food
pharmacy 4186,Health
concert ticket transaction,Entertainment
medical bill 4581,Health
game purchase payment,Entertainment
pharmacy transaction,Health
game purchase expense,Entertainment
health checkup transaction,Health
clothes purchase,Shopping
health checkup,Health
tour booking payment,Travel
doctor consultation,Health
street food,Food
doctor consultation,Health
vegetable market payment,Groceries
online shopping 4263,Shopping
fuel refill transaction,Transport
tour booking expense,Travel
food delivery,Food
concert ticket expense,Entertainment
amazon order,Shopping
netflix subscription,Entertainment
